Player,Player Origin,Role,Team
Kuldeep Sen,Indian,Bowler,RR
Navdeep Saini,Indian,Bowler,RR
Prasidh Krishna,Indian,Bowler,RR
Sandeep Sharma,Indian,Bowler,RR
Trent Boult,Overseas,Bowler,RR
Yuzvendra Chahal,Indian,Bowler,RR
Adam Zampa,Overseas,Bowler,RR
Abdul Samad,Indian,All-Rounder,SRH
Aiden Markram,Overseas,Batter,SRH
Rahul Tripathi,Indian,Batter,SRH
Glenn Phillips,Overseas,All-Rounder,SRH
Heinrich Klaasen,Overseas,Batter,SRH
Mayank Agarwal,Indian,Batter,SRH
Anmolpreet Singh,Indian,Batter,SRH
Upendra Singh Yadav,Indian,Batter,SRH
Nitish Kumar Reddy,Indian,All-Rounder,SRH
Abhishek Sharma,Indian,All-Rounder,SRH
Marco Jansen,Overseas,All-Rounder,SRH
Washington Sundar,Indian,All-Rounder,SRH
Sanvir Singh,Indian,All-Rounder,SRH
Bhuvneshwar Kumar,Indian,Bowler,SRH
T Natarajan,Indian,Bowler,SRH
Mayank Markande,Indian,Bowler,SRH
Umran Malik,Indian,Bowler,SRH
Fazalhaq Farooqi,Overseas,Bowler,SRH
