Player,Role,Amount,Team,Year,Player Origin
Ashton Turner,All-Rounder,5000000,RR,2019,Indian
Ashwin Hebbar,Batter,2000000,DC,2022,Indian
Asif K M,Bowler,4000000,CSK,2018,Indian
Atharva Taide,All-Rounder,2000000,PBKS,2022,Indian
Avesh Khan,Bowler,7000000,DC,2018,Indian
Avesh Khan,Bowler,100000000,LSG,2022,Indian
Axar Rajesh Patel,All-Rounder,50000000,DC,2019,Indian
Ayush Badoni,All-Rounder,2000000,LSG,2022,Indian
B. Sai Sudharsan,All-Rounder,2000000,GT,2022,Indian
Baba Aparajith,Batter,1000000,CSK,2014,Indian
Baba Aparajith,All-Rounder,1000000,RPSG,2016,Indian
Baba Indrajith,Batter,2000000,KKR,2022,Indian
Baltej Dhanda,Bowler,2000000,PBKS,2022,Indian
Bandaru Ayyappa,Bowler,2000000,DC,2019,Indian
Barinder Singh Saran,Bowler,1000000,RR,2015,Indian
Barinder Singh Sran,Bowler,12000000,SRH,2016,Indian
Barinder Singh Sran,Bowler,22000000,PBKS,2018,Indian
Barinder Singh Sran,Bowler,34000000,MI,2019,Indian
Basil Thampi,Bowler,8500000,GL,2017,Indian
Basil Thampi,Bowler,9500000,SRH,2018,Indian
Basil Thampi,Bowler,3000000,MI,2022,Indian
Ben Cutting,Bowler,8000000,RR,2014,Overseas
Ben Cutting,All-Rounder,5000000,SRH,2016,Overseas
Ben Cutting,All-Rounder,22000000,MI,2018,Overseas
Ben Cutting,All-Rounder,7500000,KKR,2021,Overseas
Ben Dunk,Batter,2000000,MI,2014,Overseas
Ben Dwarshuis,Bowler,14000000,PBKS,2018,Overseas
Ben Hilfenhaus,Bowler,10000000,CSK,2014,Overseas
Ben Laughlin,Bowler,1500000,CSK,2013,Overseas
Ben Laughlin,Bowler,3000000,SRH,2017,Overseas
Ben Laughlin,Bowler,5000000,RR,2018,Overseas
Benjamin Stokes,All-Rounder,145000000,RPSG,2017,Overseas
Benjamin Stokes,All-Rounder,125000000,RR,2018,Overseas
Benny Howell,All-Rounder,4000000,PBKS,2022,Overseas
Beuran Hendricks,Bowler,18000000,PBKS,2014,Overseas
Bhanuka Rajapaksa,Batter,5000000,PBKS,2022,Overseas
Bhuvneshwar Kumar,Bowler,42500000,SRH,2014,Overseas
Bhuvneshwar Kumar,Bowler,42000000,SRH,2022,Indian
Billy Stanlake,Bowler,3000000,RCB,2017,Overseas
Billy Stanlake,Batter,5000000,SRH,2018,Overseas
Bipul Sharma,All-Rounder,2000000,SRH,2018,Indian
Brad Hodge,Batter,24000000,RR,2014,Overseas
Brad Hogg,Bowler,5000000,KKR,2015,Overseas
