Tom Curran,194.0,121.0,41.0,1725.0,67.0,21.56,1211.0,142.44,0,5.0,154.0,63.0,58.0,0,194.0,173.0,3535.0,5185.0,205.0,0,0,25.29,8.8,17.2,3.0,0,0
Jason Holder,232.0,171.0,45.0,1973.0,69.0,15.65,1572.0,125.5,0,2.0,128.0,112.0,111.0,0,232.0,226.0,4734.0,6403.0,227.0,0,0,28.2,8.11,20.8,5.0,1.0,0
Mohammad Nabi,366.0,309.0,60,5370,89.0,21.56,3925.0,136.81,0,15.0,372.0,263.0,166.0,0,366.0,352.0,6928.0,8103.0,331.0,0,0,24.48,7.01,20.9,7.0,1.0,0
James Neesham,252.0,207.0,57.0,3456.0,75.0,23.04,2436.0,141.87,0,8.0,260,156.0,100,0,252.0,215.0,3510,5283.0,205.0,0,0,25.77,9.03,17.1,3.0,0,0
Daniel Sams,148.0,122.0,26.0,1699.0,98.0,17.69,1087.0,156.3,0,7.0,100,115.0,62.0,0,148.0,146.0,2974.0,4360,179.0,0,0,24.35,8.79,16.6,6.0,0,0
Chris Jordan,329.0,193.0,79.0,1864.0,73.0,16.35,1450,128.55,0,2.0,127.0,87.0,166.0,0,329.0,321.0,6561.0,9398.0,342.0,0,0,27.47,8.59,19.1,6.0,0,0
Tymal Mills,195.0,46.0,20,149.0,27.0,5.73,160,93.12,0,0,14.0,6.0,30,0,195.0,188.0,4021.0,5411.0,234.0,0,0,23.12,8.07,17.1,3.0,0,0
Jhye Richardson,85.0,43.0,22.0,327.0,33.0,15.57,297.0,110.1,0,0,22.0,12.0,27.0,0,85.0,84.0,1851.0,2417.0,112.0,0,0,21.58,7.83,16.5,5.0,0,0
Tim Southee,250,116.0,40,863.0,74.0,11.35,606.0,142.4,0,2.0,64.0,47.0,114.0,0,250,246.0,5424.0,7445.0,297.0,0,0,25.06,8.23,18.2,1.0,3.0,0
Rovman Powell,183.0,166.0,34.0,3330,107.0,25.22,2394.0,139.09,1.0,14.0,191.0,230,92.0,0,183.0,50,617.0,1096.0,26.0,0,0,42.15,10.65,23.7,0,0,0
Daryl Mitchell,186.0,169.0,39.0,4003.0,88.0,30.79,2962.0,135.14,0,18.0,252.0,163.0,93.0,0,186.0,86.0,1172.0,1798.0,76.0,0,0,23.65,9.2,15.4,2.0,0,0
Alzarri Joseph,100,48.0,27.0,306.0,29.0,14.57,289.0,105.88,0,0,22.0,14.0,37.0,0,100,97.0,2080,2932.0,121.0,0,0,24.23,8.45,17.1,3.0,2.0,0
Ashton Turner,185.0,159.0,45.0,2851.0,84.0,25.0,2019.0,141.2,0,15.0,194.0,115.0,69.0,0,185.0,62.0,627.0,775.0,31.0,0,0,25.0,7.41,20.2,0,0,0
Ashton Agar,141.0,100,28.0,1179.0,68.0,16.37,1028.0,114.68,0,1.0,80,45.0,74.0,0,141.0,133.0,2700,3196.0,117.0,0,0,27.31,7.1,23.0,0,2.0,0
Michael Bracewell,129.0,111.0,29.0,2433.0,141.0,29.67,1831.0,132.87,1.0,14.0,199.0,95.0,76.0,1.0,129.0,44.0,749.0,913.0,53.0,0,0,17.22,7.31,14.1,1.0,0,0
Dwaine Pretorius,210,161.0,36.0,2490,77.0,19.92,1797.0,138.56,0,5.0,165.0,137.0,45.0,0,210,183.0,3175.0,4417.0,172.0,0,0,25.68,8.34,18.4,2.0,1.0,0
Sam Billings,286.0,272.0,41.0,5475.0,95.0,23.7,4164.0,131.48,0,28.0,456.0,179.0,171.0,24.0,286.0,0,0,0,0,0,0,0,0,0,0,0,0
Gus Atkinson,45.0,20,11.0,82.0,14.0,9.11,75.0,109.33,0,0,4.0,3.0,15.0,0,45.0,44.0,820,1184.0,62.0,0,0,19.09,8.66,13.2,3.0,0,0
Kyle Jamieson,64.0,34.0,18.0,411.0,45.0,25.68,310,132.58,0,0,34.0,11.0,13.0,0,64.0,64.0,1343.0,1887.0,74.0,0,0,25.5,8.43,18.1,1.0,1.0,0
Riley Meredith,83.0,15.0,8.0,30,10,4.28,31.0,96.77,0,0,3.0,0,12.0,0,83.0,83.0,1812.0,2557.0,108.0,0,0,23.67,8.46,16.7,1.0,0,0
Adam Milne,161.0,71.0,38.0,401.0,22.0,12.15,341.0,117.59,0,0,24.0,14.0,45.0,0,161.0,156.0,3323.0,4274.0,182.0,0,0,23.48,7.71,18.2,4.0,2.0,0
Wayne Parnell,280,168.0,62.0,1944.0,99.0,18.33,1575.0,123.42,0,5.0,159.0,70,61.0,0,280,274.0,5591.0,7463.0,291.0,0,0,25.64,8.0,19.2,5.0,1.0,0
David Wiese,356.0,269.0,90,4048.0,79.0,22.61,2804.0,144.36,0,11.0,278.0,216.0,125.0,0,356.0,315.0,5416.0,7482.0,279.0,0,0,26.81,8.28,19.4,4.0,6.0,0
Ish Sodhi,251.0,77.0,35.0,380,51.0,9.04,351.0,108.26,0,1.0,25.0,17.0,58.0,0,251.0,245.0,5226.0,6813.0,285.0,0,0,23.9,7.82,18.3,6.0,1.0,0
Finn Allen,98.0,98.0,3.0,2682.0,101.0,28.23,1597.0,167.93,1.0,18.0,265.0,143.0,42.0,1.0,98.0,1.0,6.0,8.0,0,0,0,0,8.0,0,0,0,0
Fabian Allen,103.0,81.0,23.0,1087.0,64.0,18.74,758.0,143.4,0,3.0,73.0,72.0,47.0,0,103.0,86.0,1444.0,1874.0,68.0,0,0,27.55,7.78,21.2,1.0,0,0
Keemo Paul,111.0,75.0,24.0,930,56.0,18.23,723.0,128.63,0,2.0,47.0,64.0,42.0,0,111.0,92.0,1527.0,2351.0,80,0,0,29.38,9.23,19.0,1.0,1.0,0
Shai Hope,90,86.0,7.0,2106.0,106.0,26.65,1667.0,126.33,1.0,10,159.0,93.0,40,8.0,90,0,0,0,0,0,0,0,0,0,0,0,0
Taskin Ahmed,137.0,57.0,23.0,218.0,18.0,6.41,252.0,86.5,0,0,16.0,8.0,22.0,0,137.0,133.0,2785.0,3717.0,158.0,0,0,23.52,8.0,17.6,7.0,1.0,0
Matt Henry,123.0,66.0,27.0,514.0,44.0,13.17,330,155.75,0,0,28.0,35.0,49.0,0,123.0,119.0,2512.0,3523.0,144.0,0,0,24.46,8.41,17.4,3.0,0,0
Lance Morris,18.0,2.0,1.0,2.0,2.0,2.0,8.0,25.0,0,0,0,0,5.0,0,18.0,18.0,291.0,418.0,12.0,0,0,34.83,8.61,24.2,0,0,0
Ollie Robinson,49.0,23.0,10,92.0,31.0,7.07,95.0,96.84,0,0,6.0,1.0,20,0,49.0,46.0,884.0,1306.0,45.0,0,0,29.02,8.86,19.6,1.0,0,0
Billy Stanlake,76.0,15.0,12.0,30,7.0,10,46.0,65.21,0,0,1.0,1.0,8.0,0,76.0,76.0,1609.0,2149.0,81.0,0,0,26.53,8.01,19.8,1.0,0,0
Olly Stone,67.0,23.0,11.0,88.0,22.0,7.33,84.0,104.76,0,0,2.0,5.0,22.0,0,67.0,64.0,1272.0,1851.0,67.0,0,0,27.62,8.73,18.9,2.0,0,0
Karun Nair,157.0,142.0,17.0,3207.0,111.0,25.65,2422.0,132.41,2.0,18.0,317.0,106.0,64.0,0,157.0,11.0,85.0,100,4.0,0,0,25.0,7.05,21.2,0,0,0
MK Pandey,302.0,276.0,59.0,6849.0,129.0,31.56,5560,123.18,3.0,39.0,565.0,214.0,149.0,2.0,302.0,10,168.0,212.0,10,0,0,21.2,7.57,16.8,2.0,0,0
Azmatullah Omarzai,62.0,40,14.0,588.0,62.0,22.61,454.0,129.51,0,1.0,41.0,29.0,19.0,0,62.0,59.0,1137.0,1471.0,59.0,0,0,24.93,7.76,19.2,0,0,0
