Player,Player Origin,Role,Base Price
Lahiru Kumara,Overseas,Bowler,50,00,000
Obed Mccoy,Overseas,Bowler,50,00,000
Blessing Muzarabani,Overseas,Bowler,50,00,000
Richard Ngarava,Overseas,Bowler,50,00,000
George Scrimshaw,Overseas,Bowler,50,00,000
Barinder Sran,Indian,Bowler,50,00,000
Oshane Thomas,Overseas,Bowler,50,00,000
Nuwan Thushara,Overseas,Bowler,50,00,000
Sandeep Warrier,Indian,Bowler,50,00,000
Lizaad Williams,Overseas,Bowler,50,00,000
Luke Wood,Overseas,Bowler,50,00,000
Shahrukh Khan,Indian,All-Rounder,40,00,000
Tom Kohler-Cadmore,Overseas,Batter,40,00,000
Benny Howell,Overseas,All-Rounder,40,00,000
Jalaj Saxena,Indian,All-Rounder,40,00,000
Corbin Bosch,Overseas,All-Rounder,30,00,000
Kamlesh Nagarkoti,Indian,All-Rounder,30,00,000
Basil Thampi,Indian,Bowler,30,00,000
Lalit Yadav,Indian,Bowler,30,00,000
S Midhun,Indian,Bowler,30,00,000
Izharulhuq Naveed,Overseas,Bowler,30,00,000
Priyansh Arya,Indian,Batter,20,00,000
Saurav Chuahan,Indian,Batter,20,00,000
Shubham Dubey,Indian,Batter,20,00,000
Rohan Kunnummal,Indian,Batter,20,00,000
Angkrish Raghuvanshi,Indian,Batter,20,00,000
Sameer Rizvi,Indian,Batter,20,00,000
Manan Vohra,Indian,Batter,20,00,000
Raj Angad Bawa,Indian,All-Rounder,20,00,000
Mohd. Arshad Khan,Indian,All-Rounder,20,00,000
Sarfaraz Khan,Indian,All-Rounder,20,00,000
Arshin Kulkarni,Indian,All-Rounder,20,00,000
Vivrant Sharma,Indian,All-Rounder,20,00,000
Atit Sheth,Indian,All-Rounder,20,00,000
Hrithik Shokeen,Indian,All-Rounder,20,00,000
Ramandeep Singh,Indian,All-Rounder,20,00,000
Ricky Bhui,Indian,Batter,20,00,000
Kumar Kushagra,Indian,Batter,20,00,000
Urvil Patel,Indian,Batter,20,00,000
Vishnu Solanki,Indian,Batter,20,00,000
Rasikh Dar,Indian,Bowler,20,00,000
Yash Dayal,Indian,Bowler,20,00,000
Sushant Mishra,Indian,Bowler,20,00,000
Ishan Porel,Indian,Bowler,20,00,000
Akash Singh,Indian,Bowler,20,00,000
Kartik Tyagi,Indian,Bowler,20,00,000
Kuldip Yadav,Indian,Bowler,20,00,000
Murgan Ashwin,Indian,Bowler,20,00,000
Shreyas Gopal,Indian,Bowler,20,00,000
Pulkit Narang,Indian,Bowler,20,00,000
M. Siddharth,Indian,Bowler,20,00,000
Shiva Singh,Indian,Bowler,20,00,000
Manav Suthar,Indian,Bowler,20,00,000
Dinesh Bana,Indian,Batter,20,00,000
Swastik Chhikara,Indian,Batter,20,00,000
Rajat Dey,Indian,Batter,20,00,000
Abhimanyu Easwaran,Indian,Batter,20,00,000
Rithik Easwaran,Indian,Batter,20,00,000
Chirag Gandhi,Indian,Batter,20,00,000
Nikhil Gangta,Indian,Batter,20,00,000
Sudip Gharami,Indian,Batter,20,00,000
Ansh Gosai,Indian,Batter,20,00,000
Azim Kazi,Indian,Batter,20,00,000
Amandeep Khare,Indian,Batter,20,00,000
Ankit Kumar,Indian,Batter,20,00,000
Bhupen Lalwani,Indian,Batter,20,00,000
Pukhraj Mann,Indian,Batter,20,00,000
Tanmay Mishra,Indian,Batter,20,00,000
Salman Nizar,Indian,Batter,20,00,000
Priyank Panchal,Indian,Batter,20,00,000
Akshat Raghuwanshi,Indian,Batter,20,00,000
Ekant Sen,Indian,Batter,20,00,000
Subhranshu Senapati,Indian,Batter,20,00,000
Naushad Shaikh,Indian,Batter,20,00,000
Dhruv Shorey,Indian,Batter,20,00,000
Himmat Singh,Indian,Batter,20,00,000
Virat Singh,Indian,Batter,20,00,000
Shashank Singh,Indian,Batter,20,00,000
Sumeet Verma,Indian,Batter,20,00,000
P.A. Abdul,Indian,All-Rounder,20,00,000
Murugan Abhishek,Indian,All-Rounder,20,00,000
Atharva Ankolekar,Indian,All-Rounder,20,00,000
Baba Aparajith,Indian,All-Rounder,20,00,000
Jass Inder Baidwan,Indian,All-Rounder,20,00,000
Rahul Buddhi,Indian,All-Rounder,20,00,000
Vaisakh Chandran,Indian,All-Rounder,20,00,000
Writtick Chatterjee,Indian,All-Rounder,20,00,000
Raj Chaudhary,Indian,All-Rounder,20,00,000
Ravi Chauhan,Indian,All-Rounder,20,00,000
Ashwin Das,Indian,All-Rounder,20,00,000
Aarya Desai,Indian,All-Rounder,20,00,000
Vineet Dhankhar,Indian,All-Rounder,20,00,000
Naman Dhir,Indian,All-Rounder,20,00,000
Harsh Dubey,Indian,All-Rounder,20,00,000
Prerit Dutta,Indian,All-Rounder,20,00,000
Jake Fraser-Mcgurk,Overseas,All-Rounder,20,00,000
Shubhang Hegde,Indian,All-Rounder,20,00,000
Saransh Jain,Indian,All-Rounder,20,00,000
Duan Jansen,Overseas,All-Rounder,20,00,000
Mohammad Kaif,Indian,All-Rounder,20,00,000
Anshul Kamboj,Indian,All-Rounder,20,00,000
Aman Khan,Indian,All-Rounder,20,00,000
Mohd Arslan Khan,Indian,All-Rounder,20,00,000
Musheer Khan,Indian,All-Rounder,20,00,000
Tanush Kotian,Indian,All-Rounder,20,00,000
Sumit Kumar,Indian,All-Rounder,20,00,000
Manvanth Kumar,Indian,All-Rounder,20,00,000
Saurabh Kumar,Indian,All-Rounder,20,00,000
Dev Lakra,Indian,All-Rounder,20,00,000
Nasir Lone,Indian,All-Rounder,20,00,000
Kaushik Maity,Indian,All-Rounder,20,00,000
Divij Mehra,Indian,All-Rounder,20,00,000
Mani Sankar Mura Singh,Indian,All-Rounder,20,00,000
Abid Mushtaq,Indian,All-Rounder,20,00,000
Sanjay Pahal,Indian,All-Rounder,20,00,000
Jitender Pal,Indian,All-Rounder,20,00,000
Saumy Pandey,Indian,All-Rounder,20,00,000
Ansh Patel,Indian,All-Rounder,20,00,000
Sairaj Patil,Indian,All-Rounder,20,00,000
Pradosh Paul,Indian,All-Rounder,20,00,000
Shubham Singh Pundir,Indian,All-Rounder,20,00,000
Atal Rai,Indian,All-Rounder,20,00,000
Abhimanyusingh Rajput,Indian,All-Rounder,20,00,000
Mohit Rathee,Indian,All-Rounder,20,00,000
Ninad Rathva,Indian,All-Rounder,20,00,000
Rohit Rayudu,Indian,All-Rounder,20,00,000
Aniketh Reddy,Indian,All-Rounder,20,00,000
Mohit Redkar,Indian,All-Rounder,20,00,000
Akash Sengupta,Indian,All-Rounder,20,00,000
Ashutosh Sharma,Indian,All-Rounder,20,00,000
Shivalik Sharma,Indian,All-Rounder,20,00,000
Suryansh Shedge,Indian,All-Rounder,20,00,000
Aradhya Shukla,Indian,All-Rounder,20,00,000
Utkarsh Singh,Indian,All-Rounder,20,00,000
Vishwanath Pratap Singh,Indian,All-Rounder,20,00,000
