Tim Southee,250,116,40,863,74,11.35,606,142.40,0,2,64,47,114,0,250,246,5424,7445,297,6/16,6/16,25.06,8.23,18.2,1,3,0
Rovman Powell,183,166,34,3330,107,25.22,2394,139.09,1,14,191,230,92,0,183,50,617,1096,26,2/21,2/21,42.15,10.65,23.7,0,0,0
Daryl Mitchell,186,169,39,4003,88,30.79,2962,135.14,0,18,252,163,93,0,186,86,1172,1798,76,4/32,4/32,23.65,9.20,15.4,2,0,0
Alzarri Joseph,100,48,27,306,29,14.57,289,105.88,0,0,22,14,37,0,100,97,2080,2932,121,6/12,6/12,24.23,8.45,17.1,3,2,0
Ashton Turner,185,159,45,2851,84,25.00,2019,141.20,0,15,194,115,69,0,185,62,627,775,31,3/20,3/20,25.00,7.41,20.2,0,0,0
Ashton Agar,141,100,28,1179,68,16.37,1028,114.68,0,1,80,45,74,0,141,133,2700,3196,117,6/30,6/30,27.31,7.10,23.0,0,2,0
Michael Bracewell,129,111,29,2433,141,29.67,1831,132.87,1,14,199,95,76,1,129,44,749,913,53,4/28,4/28,17.22,7.31,14.1,1,0,0
Dwaine Pretorius,210,161,36,2490,77,19.92,1797,138.56,0,5,165,137,45,0,210,183,3175,4417,172,5/17,5/17,25.68,8.34,18.4,2,1,0
Sam Billings,286,272,41,5475,95,23.70,4164,131.48,0,28,456,179,171,24,286,0,0,0,0,0,0,0,0,0,0,0,0
Gus Atkinson,45,20,11,82,14,9.11,75,109.33,0,0,4,3,15,0,45,44,820,1184,62,4/20,4/20,19.09,8.66,13.2,3,0,0
Kyle Jamieson,64,34,18,411,45,25.68,310,132.58,0,0,34,11,13,0,64,64,1343,1887,74,6/7,6/7,25.50,8.43,18.1,1,1,0
Riley Meredith,83,15,8,30,10,4.28,31,96.77,0,0,3,0,12,0,83,83,1812,2557,108,4/21,4/21,23.67,8.46,16.7,1,0,0
Adam Milne,161,71,38,401,22,12.15,341,117.59,0,0,24,14,45,0,161,156,3323,4274,182,5/11,5/11,23.48,7.71,18.2,4,2,0
Wayne Parnell,280,168,62,1944,99,18.33,1575,123.42,0,5,159,70,61,0,280,274,5591,7463,291,5/30,5/30,25.64,8.00,19.2,5,1,0
David Wiese,356,269,90,4048,79,22.61,2804,144.36,0,11,278,216,125,0,356,315,5416,7482,279,5/19,5/19,26.81,8.28,19.4,4,6,0
Ish Sodhi,251,77,35,380,51,9.04,351,108.26,0,1,25,17,58,0,251,245,5226,6813,285,6/11,6/11,23.90,7.82,18.3,6,1,0
Finn Allen,98,98,3,2682,101,28.23,1597,167.93,1,18,265,143,42,1,98,1,6,8,0,0,0,0,8.00,0,0,0,0
Fabian Allen,103,81,23,1087,64,18.74,758,143.40,0,3,73,72,47,0,103,86,1444,1874,68,4/25,4/25,27.55,7.78,21.2,1,0,0
Keemo Paul,111,75,24,930,56,18.23,723,128.63,0,2,47,64,42,0,111,92,1527,2351,80,5/15,5/15,29.38,9.23,19.0,1,1,0
Shai Hope,90,86,7,2106,106,26.65,1667,126.33,1,10,159,93,40,8,90,0,0,0,0,0,0,0,0,0,0,0,0
Taskin Ahmed,137,57,23,218,18,6.41,252,86.50,0,0,16,8,22,0,137,133,2785,3717,158,5/31,5/31,23.52,8.00,17.6,7,1,0
Matt Henry,123,66,27,514,44,13.17,330,155.75,0,0,28,35,49,0,123,119,2512,3523,144,4/24,4/24,24.46,8.41,17.4,3,0,0
Lance Morris,18,2,1,2,2,2.00,8,25.00,0,0,0,0,5,0,18,18,291,418,12,3/26,3/26,34.83,8.61,24.2,0,0,0
Ollie Robinson,49,23,10,92,31,7.07,95,96.84,0,0,6,1,20,0,49,46,884,1306,45,4/15,4/15,29.02,8.86,19.6,1,0,0
Billy Stanlake,76,15,12,30,7,10.00,46,65.21,0,0,1,1,8,0,76,76,1609,2149,81,4/8,4/8,26.53,8.01,19.8,1,0,0
Olly Stone,67,23,11,88,22,7.33,84,104.76,0,0,2,5,22,0,67,64,1272,1851,67,4/21,4/21,27.62,8.73,18.9,2,0,0
Karun Nair,157,142,17,3207,111,25.65,2422,132.41,2,18,317,106,64,0,157,11,85,100,4,1/2,1/2,25.00,7.05,21.2,0,0,0
MK Pandey,302,276,59,6849,129,31.56,5560,123.18,3,39,565,214,149,2,302,10,168,212,10,4/27,4/27,21.20,7.57,16.8,2,0,0
Azmatullah Omarzai,62,40,14,588,62,22.61,454,129.51,0,1,41,29,19,0,62,59,1137,1471,59,3/16,3/16,24.93,7.76,19.2,0,0,0
Rachin Ravindra,53,45,7,618,67,16.26,503,122.86,0,1,50,20,21,0,53,48,888,1104,41,3/22,3/22,26.92,7.45,21.6,0,0,0
KS Bharat,74,69,5,1266,78,19.78,1142,110.85,0,6,110,47,54,14,74,0,0,0,0,0,0,0,0,0,0,0,0
Kusal Mendis,126,125,6,3439,87,28.89,2538,135.50,0,28,296,149,50,7,126,1,1,0,0,0,0,0,0,0,0,0,0
Tristan Stubbs,59,54,9,1119,80,24.86,760,147.23,0,4,62,68,24,0,59,15,159,236,6,2/6,2/6,39.33,8.90,26.5,0,0,0
Dilshan Madushanka,28,8,3,21,12,4.20,40,52.50,0,0,1,1,5,0,28,28,526,801,29,3/24,3/24,27.62,9.13,18.1,0,0,0
Shivam Mavi,52,19,5,85,26,6.07,90,94.44,0,0,6,4,22,0,52,52,1014,1405,53,4/14,4/14,26.50,8.31,19.1,3,0,0
Chetan Sakariya,46,10,3,25,7,3.57,42,59.52,0,0,3,0,13,0,46,45,1022,1311,65,5/11,5/11,20.16,7.69,15.7,2,1,0
Jaydev Unadkat,180,69,37,521,58,16.28,388,134.27,0,1,36,26,50,0,180,179,3865,5126,218,5/25,5/25,23.51,7.95,17.7,3,2,0
Akeal Hosein,123,63,29,558,44,16.41,496,112.50,0,0,31,27,29,0,123,112,2348,2640,102,4/13,4/13,25.88,6.74,23.0,2,0,0
Waqar Salamkheil,33,6,6,15,6,0,19,78.94,0,0,2,0,5,0,33,33,738,949,47,4/14,4/14,20.19,7.71,15.7,3,0,0
Tabraiz Shamsi,232,47,28,82,15,4.31,152,53.94,0,0,2,1,31,0,232,226,4867,5926,269,5/24,5/24,22.02,7.30,18.0,7,1,0
Alick Athanaze,8,8,1,165,76,23.57,152,108.55,0,1,14,5,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0
Mark Chapman,139,125,18,2873,104,26.85,2148,133.75,2,18,246,104,46,0,139,36,455,594,22,3/22,3/22,27.00,7.83,20.6,0,0,0
Samuel Hain
Reeza Hendricks,189,176,20,5497,108,35.23,4331,126.92,4,39,543,134,76,0,189,9,120,136,4,1/9,1/9,34.00,6.80,30.0,0,0,0
Brandon King
Najibullah Zadran,198,178,45,3628,97,27.27,2634,137.73,0,18,250,199,80,0,198,2,12,8,1,1/6,1/6,8.00,4.00,12.0,0,0,0
Wesley Agar
Qais Ahamad
Rehan Ahmed,45,31,10,268,49,12.76,227,118.06,0,0,24,10,12,0,45,44,912,1189,46,4/22,4/22,25.84,7.82,19.8,1,0,0
Charith Asalanka,98,96,11,1999,80,23.51,1632,122.48,0,10,163,79,26,0,98,30,380,434,19,4/14,4/14,22.84,6.85,20.0,1,0,0
Brydon Carse,76,56,16,738,58,18.45,527,140.03,0,2,45,30,27,0,76,67,1113,1678,40,3/23,3/23,41.95,9.04,27.8,0,0,0
Ben Cutting,209,175,47,2883,81,22.52,1968,146.49,0,5,194,178,99,0,209,177,2908,4370,136,5/28,5/28,32.13,9.01,21.3,0,1,0
Matthew Forde,18,13,6,112,52,16.00,88,127.27,0,1,10,4,4,0,18,16,284,307,22,4/11,4/11,13.95,6.48,12.9,2,0,0
George Garton,81,50,15,562,46,16.05,418,134.44,0,0,52,22,19,0,81,77,1301,1958,72,4/16,4/16,27.19,9.02,18.0,3,0,0
George Linde,159,123,33,1677,63,18.63,1257,133.41,0,3,103,76,44,0,159,153,3074,3827,146,4/19,4/19,26.21,7.46,21.0,3,0,0
Keshav Maharaj,141,65,31,637,45,18.73,541,117.74,0,0,56,22,48,0,141,133,2849,3244,111,4/15,4/15,29.22,6.83,25.6,1,0,0
Wiaan Mulder,78,65,17,1313,83,27.35,1010,130.00,0,8,105,43,37,0,78,60,915,1299,46,2/10,2/10,28.23,8.51,19.8,0,0,0
Dasun Shanaka,196,183,42,3892,131,27.60,2750,141.52,3,15,280,225,65,0,196,100,1161,1706,63,3/6,3/6,27.07,8.81,18.4,0,0,0
Matthew Short,88,84,5,1832,100,23.18,1311,139.74,1,9,155,77,46,0,88,55,706,887,25,3/14,3/14,35.48,7.53,28.2,0,0,0
Odean Smith,93,65,25,721,44,18.02,534,135.01,0,0,47,54,32,0,93,88,1516,2503,93,4/30,4/30,26.91,9.90,16.3,1,0,0
Hanuma Vihari,89,88,10,1707,84,21.88,1475,115.72,0,7,157,42,34,2,89,38,486,608,27,3/21,3/21,22.51,7.50,18.0,0,0,0
Johnson Charles,236,230,9,5862,118,26.52,4503,130.17,3,33,559,272,85,7,236,5,43,69,5,1/5,1/5,13.80,9.62,8.6,0,0,0
Varun Aaron,95,33,18,133,17,8.86,184,72.28,0,0,11,4,15,0,95,93,1919,2731,93,3/16,3/16,29.36,8.53,20.6,0,0,0
Fareed Ahmad,61,17,9,74,24,9.25,77,96.10,0,0,9,1,11,0,61,60,1190,1664,64,3/14,3/14,26.00,8.38,18.5,0,0,0
Dushmanta Chameera
Ben Dwarshuis,114,60,29,476,66,15.35,372,127.95,0,1,34,17,30,0,114,112,2394,3298,142,5/26,5/26,23.22,8.26,16.8,3,1,0
Richard Gleeson,82,20,11,51,8,5.66,61,83.60,0,0,6,0,17,0,82,79,1609,2213,91,5/33,5/33,24.31,8.25,17.6,1,1,0
Md Shoriful Islam
Spencer Johnson,20,4,3,5,4,5.00,4,125.00,0,0,1,0,3,0,20,20,393,514,17,3/1,3/1,30.23,7.84,23.1,0,0,0
Siddharth Kaul
Lahiru Kumara,54,17,9,38,10,4.75,44,86.36,0,0,5,1,3,0,54,53,1094,1505,69,4/17,4/17,21.81,8.25,15.8,2,0,0
Obed Mccoy,85,24,8,124,23,7.75,119,104.20,0,0,10,8,18,0,85,84,1703,2465,112,6/17,6/17,22.00,8.68,15.2,4,2,0
Blessing Muzarabani,65,23,13,33,9,3.30,67,49.25,0,0,4,0,14,0,65,63,1339,1707,69,3/18,3/18,24.73,7.64,19.4,0,0,0
Richard Ngarava,77,32,14,89,15,4.94,82,108.53,0,0,8,3,12,0,77,76,1571,1899,81,3/11,3/11,23.44,7.25,19.3,0,0,0
George Scrimshaw,48,9,8,19,5,19.00,34,55.88,0,0,1,0,5,0,48,48,994,1468,64,3/16,3/16,22.93,8.86,15.5,0,0,0
Barinder Sran,48,21,12,106,19,11.77,80,132.50,0,0,11,3,9,0,48,48,966,1353,45,4/10,4/10,30.06,8.40,21.4,1,0,0
Oshane Thomas,68,16,8,19,8,2.37,42,45.23,0,0,2,0,8,0,68,66,1311,1979,83,5/28,5/28,23.84,9.05,15.7,1,1,0
Nuwan Thushara,79,24,16,38,7,4.75,42,90.47,0,0,2,2,11,0,79,78,1477,1899,107,5/13,5/13,17.74,7.71,13.8,3,1,0
Sandeep Warrier,72,8,5,13,7,4.33,30,43.33,0,0,1,0,12,0,72,72,1480,1767,63,3/19,3/19,28.04,7.16,23.4,0,0,0
Lizaad Williams,65,18,14,72,17,18.00,78,92.30,0,0,4,2,16,0,65,64,1288,1611,84,4/13,4/13,19.17,7.50,15.3,2,0,0
Luke Wood,122,47,21,224,33,8.61,216,103.70,0,0,11,6,40,0,122,121,2294,3237,127,5/50,5/50,25.48,8.46,18.0,1,1,0
Shahrukh Khan
Tom Kohler0Cadmore
Benny Howell,208,168,52,2574,57,22.18,1926,133.64,0,6,188,99,83,0,208,187,3824,4672,206,5/18,5/18,22.67,7.33,18.5,3,1,0
Jalaj Saxena,70,51,11,661,55,16.52,759,87.08,0,1,64,5,14,0,70,62,1181,1327,72,5/16,5/16,18.43,6.74,16.4,2,2,0
Corbin Bosch,53,36,10,529,81,20.34,460,114.99,0,2,47,11,21,0,53,46,824,1190,27,3/22,3/22,44.07,8.66,30.5,0,0,0
Kamlesh Nagarkoti,25,14,6,94,39,11.75,116,81.03,0,0,6,0,9,0,25,24,445,604,19,3/25,3/25,31.78,8.14,23.4,0,0,0
Basil Thampi,86,19,11,73,22,9.12,67,108.95,0,0,4,4,17,0,86,86,1788,2500,87,4/15,4/15,28.73,8.38,20.5,1,0,0
Lalit Yadav,10,3,1,19,9,9.50,24,79.16,0,0,2,1,2,0,10,10,185,237,7,3/19,3/19,33.85,7.68,26.4,0,0,0
S Midhun
Izharulhuq Naveed
